Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
19G,Broadway,Kovalam,"Central, LIC, DMS, SIET, Saidapet, Anna university, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Neelangarai, Injambakkam, Uthandi, Kanathur, Muttukadu boat yard",x,,
19H,T.Nagar,Kanathur,"Saidapet, Anna university, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Neelangarai, Injambakkam, Uthandi",x,,
19K,Adyar B.S.,Siruseri,"Thiruvanmiyur, Perungudi, Navalur, Thalambur",,,
19P,Adyar B.S.,Kelambakkam,"SRP Tools, Perugudi, Sholinganallur, Navalur, Thalambur, Sirusery, Pudupakkam, Chettinad Hospital",,,
19T,T.Nagar,Thalambur,"Saidapet, SRP Tools, Sholinganallur, Navalur",,,
19V,Velachery,Kovalam,"Taramani, SRP Tools, Jayanthi, Thiruvanmiyur, Injambakkam, MGM, Muttukadu",,,
1A,Thiruvottiyur,Thiruvanmiyur,"Adyar, Mylapore, Royapettah, Central R.S, Kalmandapam, Tollgate, Rajakadai, Theradi",x,,
1B,Thiruvottiyur,Tambaram,"Chrompet, Pallavaram, Guindy, Teynampet, D.M.S, L.I.C, Central R.S, Parry's Corner, Kalmandapam, Tollgate",x,x,
1C,Thiruvanmiyur,Ennore,"Adyar, Mylapore, Royapettah, Parry's Corner, Kalmandapam, Tollgate, Rajakadai, Theradi, Azax, Ernavoor",,,
1D,Thiruvanmiyur,Ennore,"Adyar, Mylapore, Royapettah, Parry's Corner, Kalmandapam, Thalankuppam",,,
1E,Ennore,Tambaram,"Chrompet, Pallavaram, Guindy, Teynampet, D.M.S, L.I.C, Central R.S, Parry's Corner, Kalmandapam, Tollgate, Thiruvottiyur",,,x
1G,Thiruvottiyur,Velachery,"Saidapet, Annasalai, Parry's Corner, Kalmandapam, Tollgate",,,
1G Cut,Broadway,Madipakkam,"Velachery, Saidapet, TVS, LIC",,,
1G xt,Thiruvottiyur,Medavakkam,"Velachery, Saidapet, TVS, LIC, Parry's Corner, Kalmandapam, Tollgate",,,
1J,Thiruvottiyur,Triplicane,"Rajakadai, Tollgate, Kalmandappam, Parry's Corner, Central R.S",,,
20,Broadway,Villivakkam,,,,
20A,Broadway,Mugappair West,"Central RS, Periyamedu, Purasaiwakkam, Villivakkam, Nadhamuni, Ambattur I.E",,,x
20B,Broadway,Menambedu,"Purasaiwakkam, Villivakkam, Nadhamuni, Padi, Ambattur I.E, Dunlop, Ambattur OT",,,
20C,Broadway,Oragadam,"Purasaiwakkam, Villivakkam, Nadhamuni, Padi, Ambattur I.E, Dunlop, Ambattur OT",,,
20E,Ayyapakkam,Ambattur I.E,,,,
20J,Ayyapakkam,CMBT,,,,x
