Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
G70,Vadapalani,Guduvanchery,"Udhayam Theater, Pallavaram, Tambaram, Vandalur Zoo",,,
H21,Broadway,Chemmenchery,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur",x,,
H27,Anna Square,Ambattur,"Triplicane, LIC, DPI, Sterling Road, Loyola College, Choolaimedu, Roundtana, Thirumangalam, Vavin, Ambattur I.E",,,
H51,Tambaram East,Broadway,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, AMS, Adyar, Adyar Depot, SRP tools, Taramani, Velachery, Pallikaranai, Medavakkam, Santhosapuram, Kamarajapuram, Camp road, Convent",,,
H70,Menambedu,CMBT,Ambattur OT,,,
J70,Mogappair West,Guindy I.E,"Collector Nagar, CMBT, Vadapalani, Udhayam Theater",,,
K18,Broadway,Saidapet West,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy, Ekkaduthangal, Ashok nagar, Mettupalayam",,x,
K18 cut,Broadway,Ekkaduthangal,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy,CIPET",,x,
L21,Broadway,Velachery,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, SRP Tools",,,x
L51,CMBT,Ottiambakkam,"Arasan Kazhani, Sithalapakkam, Medavakkam, Pallikaranai, Velacherry, Checkpost, Guindy, Ashok pillar, Vadapalani, MMDA Colony",,,
L70,Menambedu,Tambaram,"Korattur, CMBT, Vadapalani, Udhayam Theater",,,
M1,Thiruvanmiyur,Kilkattalai,Velachery,,,
M11,Saidapet,Tambaram East,"Guindy, St.Thomas Mount, Kilkattalai, Kovilambakkam, Medavakkam Koot Road, Santhosapuram, Camp Road",,,
M116,Broadway,Kaviarasu Kannadhasan Nagar,"SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S",x,,
M116A,Broadway,Muthamil Nagar (Kodungaiyur),"SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S",x,,
M116L,Broadway,Parvathi Nagar (Kodungaiyur),"Muthamil Nagar, SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S",,,
M119,Semmencheri,Guindy,"Velachery,SRP,Perungudi",,,
M119A,Semmencheri,T.Nagar,"Saidapet, Velachery, SRP, Perungudi",,,
M119B,Semmencheri,Guindy,"Saidapet,GandhiMandapam, Adyar,Thiruvanmiyur",,,x
M11A,Vallalar Nagar,Rengarajapuram,"Pangal Park, Annasalai, Central R.S, Parry's Corner",,,
M12,High Court,Kilkattalai,"Gopalapuram, Teynampet, Velachery",,,
M12A,T. Nagar,Foreshore Estate,"Pondy bazaar,Alwarpet, Luz, Santhome",,,
M14,N.G.O Colony B.S,Medavakkam Junction,"Adambakkam, Vanuvampet, Ullagaram, Puzhithivakkam, Madipakkam Koot rd, Ganesh Nagar, Kilkattalai, Kovilambakkam, Vadakkupet, Vellaikal, Bell Nagar, Medavakkam",x,,
M14 xt,Saidapet,Madambakkam Sivan Koil,"NGO Colony, Vanuvampettai, Madipakkam, Kilkattalai, Medavakkam Koot Road, Santhoshapuram, Vengaivasal",,,x
M14A,Velachery,Medavakkam Koot Road,"Vanuvampettai, Madipakkam, Kilkattalai",,,x
M15,Mylapore,Medavakkam,"Adyar, Thiruvanmiyur, SRP Tools, Velachery, Pallikaranai",,,
M15 xt,Mylapore,Tambaram East,"Adyar, Thiruvanmiyur, SRP Tools, Velachery, Pallikaranai, Medavakkam, Camp Road",,,
M151K,Tambaram East,Kannagi Nagar,"CampRoad, Medavakkam, Shozhinganallur, Okkiam",,,
M153,Pattabiram,CMBT,"Thandarai,Chittukadu,Thirumazhisai, Poonamallee,Kumananchavadi, Maduravoyal",,,x
M157,Red Hills,Thiruvottiyur,"Puzhal, Moolakadai,Sharma Nagar, M.K.B Nagar, Korukkupettai, Tondaripet, Tollgate, Theradi",,,
M170,Thiruverkadu,Velachery,"Velappan chavadi, Vanagaram, Maduravoyal, Nerkundram, Koyambedu Market, CMBT, Vadapalani, Ashok Pillar, Guindy, Checkpost",,,
M18,Guduvanchery,Tambaram,Vandalur Zoo/Arignar Anna Zoological Park,x,x,
M18C,Kilkattalai,T.Nagar,"Madipakkam Koot Road, Nanganallur, Guindy, Saidapet",x,x,
M18G,Guduvanchery,Hasthinapuram,"Chromepet, Tambaram, Vandalur Zoo",x,x,
M18N,Guduvanchery,Nanganallur,"Pazhavanthangal, Pallavaram, Chromepet, Tambaram, Vandalur Zoo, Oorapakkam",x,,
M19A,T. Nagar,Kelambakkam,"Saidapet, Adyar, Thiruvanmiyur, Perungudi",,,
M19B,T. Nagar,Kannagi Nagar,"Saidapet, Adyar, Thiruvanmiyur, Jain College, Perungudi",,,
M1A,Thiruvanmiyur,Nanganallur,"Thiruvanmiyur, Madipakkam",,,
M1P,Thiruvanmiyur,Pozhichalur,"Velachery, Kilkattalai, Pallavaram, Pammal",,,x
M2,Saidapet,Ottiambakkam,"Velachery, Medavakkam",,,x
M21,Velachery,Tambaram West,"Narayanapuram, Pallikaranai, Medavakkam, Camp Road, Tambaram East",x,,
M21A,Velachery,Tambaram West,"Pallikaranai, Medavakkam, Santhosapuram, Sembakkam, Thirumalai Nagar, Hasthinapuram, Chitlapakkam, MEPZ",,,
M21B,Velachery,Chromepet,"Narayanapuram, Pallikaranai, Medavakkam, Santhosapuram, Sembakkam, Thirumalai Nagar, Hasthinapuram",,,
M21C,Kannagi Nagar,Central R.S,"Thoraipakkam, Perungudi, Thiruvanmiyur, Adayar, Mandaveli",,,
M21F,Kannagi Nagar,Egmore,"Mettukuppam, Perugudi, Kandan chavadi, SRP Tools, Thiruvanmiyur, Adyar, AMS, Mandaveli, Mylapore, Ajantha, Royapettah, Wesley School, LIC, Pudhupet, Maternity Hospital",,,
M21G,Broadway,Guindy,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university,",x,,
M21G xt,Broadway,Nanganallur,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy, Pazhavanthangal Station, Chidambaram Stores",,,
M21G xt,Broadway,Ekkaduthangal,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy",,,x
M21T,Kannagi Nagar,Broadway,"Santhome, Adyar, Perungudi",,,
M27,T. Nagar,CMBT,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, Virugambakkam, Chinmaya nagar, Koyambedu Market",,,
M270,Ambattur I.E,Puzhuthivakkam,"Aadambakkam, Guindy, Udhayam, CMBT, Thirumangalam",,,
M33A,Broadway,Moolakadai,,,,
M33xt,Broadway,Kaviarasu Kannadasan Nagar,"M.K.B Nagar, Vyasarpadi, Basin Bridge, Mint, Mannadi",x,,
M42B,Broadway,Poombuhar,"Central R.S, Periamet, Choolaipostoffice, Doveton, Bhuvaneswari, Pattalam, Otteri, Perambur, Venus, Peravallur,Nehrusilai",,,
M42C,Broadway,Teacherscolony,"Central, Periamet, Natarajatheatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur, Kolathur, Vinayagapuram",,,
M42D,Broadway,Srinivasanagar,,x,,
M45,T. Nagar,Kilkattalai,"Saidapet, Velachery",x,,
M45A,Velachery,Anna Square,"Saidapet, Nandanam, Adyar Gate",,,
M45B,Anna Square,Nanganallur,"Saidapet, Nandanam, Teynampet, Alwarpet, Luz, Chennai Citi Centre",x,,
M45E,Anna Square,Kilkattalai,"Triplicane, Chennai Citi Centre, Luz, Saidapet, Velachery",,,
M5,Adyar,Kelambakkam,"Thiruvanmiyur, Perungudi, Sholinganallur",x,,
M500,Chengalpattu,Tambaram,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Perugalathur",x,,
M51,T. Nagar,Sholinganallur,"Velachery, Medavakkam",,,
M51C,T. Nagar,Ottiambakkam,"Velachery, MEDAVAKKAM, Perumbakkam",,,
M51D,Saidapet,Kelambakkam,"Velachery, Medavakkam, Ottiyambakkam, Karanai, Thalambur, Pudhupakkam, Chettinad Hospital",,,x
M51V,T.Nagar,Kolathur,"Velachery,Medavakkam,Sithalapakkam koot road,Kovilancherry,Madurapakkam,Ponmar,Mambakkam Rice mill, Mambakkam",x,,
M52,Pozhichalur,Guduvanchery,"Pallavaram,Chrompet,Tambaram, Perungalathur, Vandalor Zoo",x,,
M54,T.Nagar,Poonamallee,"Saidepet, Guindy, Porur, Iyyapanthangal, Kumananchavadi",x,x,
M64B,Broadway,Minjur,"Napalayam, Manali New Town, MFL, CPCL, Manali, Madhavaram Milk colony, Moolakadai, Perambur market, Pulianthope, Doveton, Central R.S",x,,
M64C,Broadway,Manali,"Madhavaram Milk colony, Thapal petti, Moolakadai, Vyasarpadi, Pulianthope, Doveton, Central R.S",x,,
M64D,Broadway,Kosappur,"Madhavaram Milk colony, Thapal petti, Moolakadai, Vyasarpadi, Pulianthope, Doveton, Central R.S",x,,
M7,T.Nagar,Thiruvanmiyur,"Saidapet, Velachery, SRP Tools",x,,
M70,CMBT,Thiruvanmiyur,"Vadapalani, Ashok nagar, Guindy, Checkpost, Velacherry, Taramani, SRP tools, Jayanthi",x,x,
M70 xt,Anna Nagar West,Thiruvanmiyur,"Thirumangalam, CMBT, Vadapalani, Ashok nagar, Guindy, Checkpost, Velacherry, Taramani, SRP tools, Jayanthi",,x,
M70A,CMBT,Avadi,"Ambattur O.T, Collector Nagar",x,x,
M70D,Elango Nagar (Collector Nagar),Guindy,"Thirumangalam, CMBT, Vadapalani, Ashok Pillar",,,
M70V,Ambattur I.E,Guindy TVK Estate,"Collector Nagar, Vadapalani",,,
M79,Padappai,T.Nagar,"Samthuvapuram, Karasangal, Mannivakkam, Mudichur, Old Perugalathur, Tambaram, Chrompet, Pallavaram, Meenambakkam, Asharkana, Guindy, Little mount, Saidapet",,,
M7A,T.Nagar,Thiruvanmiyur,"Saidapet, Guindy, Velachery, IRT, SRP Tools",x,,
M88,Kundrathur,Vadapalani,Porur,,,
M89,Porur,Somangalam,Kundrathur,,,
M89T,Iyyapanthangal,Amarambedu,"Porur, Kundrathur",,,x
PP19,Broadway,Injambakkam,"Marina Beach, Thiruvanmiyur",,,
PP19xt,Broadway,Kovalam,"Marina Beach, Thiruvanmiyur, Injambakkam",,,
PP21,Broadway,Guduvanchery,"Secretariat, Chepauk, Q.M.C, Fore Shore Estate, Adyar Bus Stand, Guindy,Pallavaram, Chromepet, Tambaram, Vandalur Zoo",,,
PP49,CMBT,Kovalam,"MMDA Colony, Vadapalani, Liberty, T.Nagar, Saidapet, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Injambakkam, Kanathur, Muttukadu",,,
PP51,High Court,Tambaram East,"Selaiyur, Camp Road, Medavakkam, Pallikaranai, Velachery, Anna University, Adyar, Sathyastudio, MRC Nagar, Foreshore Estate, Santhome, AIR, Anna Square",,,
PP51 cut,High Court,Padhuvancherry,"Camp Road, Medavakkam, Pallikaranai, Velachery, Anna University, Adyar, Sathyastudio, MRC Nagar, Foreshore Estate, Santhome, AIR, Anna Square",,,
PP66,Poonamallee,Vandalur Zoo,"Tambaram, Chrompet, Pallavaram, Pammal, Anakaputhur, Kundrathur, Mangadu, Karaiyanchavadi",x,x,
R21,Broadway,Pallavaram,"Eachangadu, Kilkattalai, Velachery, SRP, Adayar, Foreshore Estate, Anna Square",,,
S21,Broadway,Mettukuppam,"Mandaveli, Adyar",,,
T1,Thiruvanmiyur,Royapuram M.C,"Adyar, Mylapore, Royapettah, Parry's Corner",,,
T151,Tambaram East,Kovalam,"CampRoad, Medavakkam,Shozhinganallur, Navalur, Kelambakkam",,,x
T151K,Tambaram West,Kovalam,"CampRoad, Medavakkam, Shozhinganallur,Panaiyur, Uthandi, Kanathur, Muttukadu",,,
T21,Broadway,Kannagi Nagar,"Thoraipakkam, Adyar, Marina",,,
T242,Padiyanallur,Thiruvanmiyur,"Puzhal, Retteri, Kolathur, Perambur, Doveton, Vepery, Central R.S, Broadway, Marina, Santhome, Adyar",,,
T29,Thiru vi ka nagar,Thiruvanmiyur,"Venus, Perambur, Jamaliya, Egmore, L.I.C, Mylapore, Adyar",,,
T47,Tidel Park,Villivakkam,"Madiakailash, Saidapet, T. Nagar, Anna Hospital, ICF",,,
T51,Tambaram East,Thiruvanmiyur,"Camp Road, Medavakkam, Sholinganallur, Karappakkam, SRP, Tidel Park",x,x,
T51 cut,Tambaram East,Kannaki Nagar,"Camp Road, Medavakkam, Sholinganallur",,,
T51S,Guduvanchery,Okkiam Thoraippakkam,"Vandalur, Tambaram East, Camp Road, Medavakkam, Sholinganallur",,,
T553,Kunnam,Thiruverkadu,"Kumananchavadi, Poonamallee, Irrungattukottai, Sriperumbudur, Sunguvarchatiram",,,
V151,Tambaram East,T. Nagar,"Saidapet, Velachery, Kamatchi Hospital, S.Kolathur, Kovilambakkam, Medavakkam Koot Road, Kamarajapuram, Camp Road",,,
V21,Thiruvanmiyur,Guduvanchery,"SRP, Taramani, Velachery, Kamatchi Hospital, Chromepet, Tambaram",,,
V51,TambaramWest,T. Nagar,"Saidapet, Velachery, Ram Nagar, Madipakkam, Kilkattalai, Medavakkam Koot Road, Kamarajapuram, Camp Road",x,,
V51 cut,Tambaram West,Velachery,"Ram Nagar, Madipakkam, Kilkattalai, Medavakkam Koot Road, Kamarajapuram, Camp Road",,,
